tech_company,benefits,workplace_resources,mh_employer_discussion,mh_coworker_discussion,medical_coverage,mental_health,mh_share,age,gender,country
Yes,Yes,No,No,No,Yes,Possibly,7,28.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,25.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,No,5,37.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,40.0,Other,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,10,26.0,Other,United States of America
No,Yes,I don't know,No,No,Yes,Yes,8,27.0,Female,United States of America
Yes,Yes,No,No,Yes,Yes,Yes,10,22.0,Female,United States of America
No,Yes,I don't know,No,Yes,Yes,Possibly,10,28.0,Female,United States of America
Yes,Yes,No,No,No,Yes,Yes,2,32.0,Female,United States of America
Yes,Yes,I don't know,No,Yes,Yes,No,7,33.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,27.0,Female,United States of America
Yes,Yes,I don't know,No,No,Yes,Yes,10,38.0,Female,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,4,28.0,Female,United States of America
No,Yes,Yes,No,No,Yes,Don't Know,3,32.0,Female,United States of America
No,No,No,No,No,Yes,Possibly,5,30.0,Female,United States of America
No,I don't know,Yes,No,No,No,Possibly,7,41.0,Female,United States of America
Yes,I don't know,No,No,No,No,Don't Know,5,39.0,Female,United States of America
Yes,Yes,I don't know,No,No,Yes,Don't Know,8,37.0,Other,United States of America
No,No,Yes,No,No,Yes,Possibly,8,21.0,Female,United States of America
No,Yes,No,No,No,Yes,No,9,35.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,33.0,Female,Switzerland
Yes,Yes,I don't know,No,No,Yes,Don't Know,6,38.0,Male,Netherlands
Yes,No,No,No,Yes,No,Yes,9,29.0,Female,United States of America
Yes,I don't know,I don't know,No,No,Yes,Don't Know,6,41.0,Female,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,10,37.0,Female,United States of America
Yes,I don't know,No,No,No,No,Yes,7,29.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,No,7,45.0,Female,United States of America
Yes,I don't know,No,No,No,Yes,No,5,45.0,Other,Germany
Yes,Yes,Yes,No,Yes,Yes,Possibly,7,45.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,30.0,Other,United States of America
Yes,I don't know,No,No,No,No,No,10,27.0,Male,United States of America
No,I don't know,I don't know,No,No,Yes,No,0,36.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,9,35.0,Female,United States of America
Yes,I don't know,No,Yes,No,Yes,Possibly,8,42.0,Other,United States of America
Yes,Yes,Yes,No,No,Yes,Yes,8,26.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Possibly,7,25.0,Other,United States of America
No,Yes,No,No,No,Yes,Yes,10,36.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,Yes,5,32.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,29.0,Female,United States of America
Yes,I don't know,Yes,No,No,Yes,No,1,29.0,Female,United States of America
Yes,Yes,I don't know,No,No,Yes,No,7,43.0,Male,United States of America
No,No,I don't know,No,Yes,Yes,No,7,26.0,Male,United Kingdom
Yes,Yes,No,Yes,No,Yes,Yes,9,46.0,Male,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,8,30.0,Female,United States of America
No,Yes,Yes,No,No,Yes,Yes,10,31.0,Female,United States of America
Yes,No,No,No,No,Yes,Possibly,6,42.0,Male,France
Yes,I don't know,I don't know,No,Yes,Yes,Possibly,9,33.0,Female,United States of America
No,Yes,Yes,No,No,Yes,Possibly,2,26.0,Male,United States of America
Yes,No,No,No,Yes,Yes,Possibly,10,37.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,36.0,Female,United States of America
No,I don't know,I don't know,No,No,Yes,No,8,45.0,Male,United Kingdom
Yes,Yes,No,No,No,Yes,No,6,26.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,Possibly,8,34.0,Male,United States of America
No,Yes,No,Yes,Yes,Yes,Possibly,3,42.0,Female,United States of America
No,I don't know,I don't know,No,No,No,Possibly,2,42.0,Male,United States of America
Yes,Yes,No,No,Yes,Yes,Possibly,8,35.0,Male,United States of America
Yes,No,No,Yes,Yes,Yes,Yes,8,36.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,No,7,37.0,Male,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,10,31.0,Female,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Possibly,10,27.0,Male,United States of America
No,I don't know,I don't know,No,No,Yes,No,5,38.0,Male,United Kingdom
Yes,No,No,Yes,Yes,No,Yes,10,32.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,Yes,8,23.0,Other,United States of America
No,No,I don't know,No,No,Yes,Yes,0,51.0,Male,United States of America
Yes,No,No,No,No,Yes,Possibly,6,19.0,Female,United States of America
Yes,Yes,I don't know,No,No,Yes,Yes,8,44.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,Yes,8,42.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,10,26.0,Male,United States of America
No,Yes,No,Yes,Yes,Yes,Yes,7,38.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,26.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Possibly,8,32.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,8,39.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,8,44.0,Female,United States of America
Yes,Yes,I don't know,Yes,No,Yes,Yes,8,33.0,Female,United States of America
No,No,No,No,No,Yes,Possibly,2,28.0,Male,Germany
Yes,No,No,Yes,Yes,Yes,Yes,10,31.0,Male,France
Yes,I don't know,I don't know,No,No,Yes,No,10,35.0,Male,France
Yes,I don't know,No,No,No,Yes,No,5,30.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,6,30.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,No,5,40.0,Male,United States of America
No,I don't know,I don't know,No,No,Yes,No,10,39.0,Male,United States of America
Yes,I don't know,No,No,No,No,No,3,24.0,Male,United States of America
Yes,Yes,I don't know,Yes,No,Yes,Possibly,9,42.0,Male,United States of America
Yes,Yes,No,No,Yes,Yes,Possibly,9,35.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,Yes,9,34.0,Male,United States of America
Yes,I don't know,I don't know,No,No,No,Yes,10,33.0,Female,United States of America
Yes,Yes,I don't know,Yes,No,Yes,No,7,37.0,Male,United States of America
No,Yes,No,No,Yes,Yes,Yes,8,36.0,Male,United States of America
No,Yes,No,Yes,Yes,Yes,Possibly,9,47.0,Female,United States of America
Yes,I don't know,No,Yes,Yes,Yes,No,6,42.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,8,29.0,Other,United States of America
No,Yes,Yes,No,No,Yes,Possibly,3,41.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,48.0,Female,United States of America
No,Yes,Yes,No,Yes,Yes,Yes,9,31.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Possibly,6,65.0,Male,Canada
No,No,I don't know,No,No,Yes,Possibly,7,34.0,Female,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,5,55.0,Female,United States of America
Yes,Yes,No,No,No,Yes,Yes,3,41.0,Female,United States of America
No,Yes,I don't know,No,Yes,Yes,Yes,8,24.0,Female,United States of America
No,No,I don't know,No,No,Yes,Possibly,4,27.0,Female,United States of America
Yes,Yes,I don't know,No,No,Yes,Don't Know,6,30.0,Male,Canada
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,37.0,Male,United States of America
Yes,No,No,No,No,Yes,Yes,4,61.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,Yes,7,29.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,10,41.0,Male,United States of America
Yes,No,No,No,No,Yes,No,7,39.0,Male,Spain
No,I don't know,No,No,No,No,Yes,9,30.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,Don't Know,6,42.0,Male,Spain
Yes,Yes,Yes,No,No,Yes,Yes,6,29.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,34.0,Female,Australia
Yes,Yes,Yes,Yes,Yes,Yes,Possibly,7,36.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,No,3,34.0,Male,United Kingdom
Yes,Yes,I don't know,No,No,Yes,Possibly,2,35.0,Male,United States of America
Yes,I don't know,No,No,Yes,Yes,Yes,4,34.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,7,24.0,Other,United States of America
Yes,Yes,Yes,No,No,Yes,No,5,37.0,Male,United States of America
No,No,No,Yes,Yes,Yes,Yes,0,24.0,Female,United States of America
Yes,I don't know,I don't know,Yes,No,No,Possibly,8,31.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,No,10,40.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,10,28.0,Male,United States of America
Yes,I don't know,No,No,No,No,No,5,28.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Yes,8,39.0,Male,Finland
No,Yes,I don't know,No,No,Yes,Yes,8,31.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Possibly,7,27.0,Male,United States of America
No,Yes,No,No,Yes,Yes,Yes,10,35.0,Male,United States of America
Yes,I don't know,Yes,No,Yes,Yes,Don't Know,8,25.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,Possibly,7,51.0,Male,United States of America
Yes,I don't know,I don't know,No,Yes,Yes,No,4,27.0,Male,United States of America
Yes,I don't know,Yes,No,No,Yes,No,3,37.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,No,1,46.0,Male,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Yes,7,39.0,Female,United States of America
Yes,Yes,Yes,No,Yes,Yes,No,5,49.0,Other,United Kingdom
Yes,I don't know,I don't know,No,Yes,Yes,Possibly,2,45.0,Male,United Kingdom
Yes,Yes,I don't know,Yes,Yes,Yes,Possibly,5,40.0,Male,United Kingdom
Yes,I don't know,No,No,Yes,Yes,Possibly,8,31.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,6,37.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,Yes,2,26.0,Female,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,9,43.0,Male,Canada
Yes,Yes,Yes,Yes,Yes,Yes,Possibly,9,35.0,Male,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Possibly,10,32.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,Yes,7,37.0,Male,United States of America
Yes,I don't know,No,Yes,No,No,No,6,41.0,Male,United States of America
Yes,I don't know,No,Yes,Yes,Yes,Yes,8,37.0,Male,United States of America
Yes,Yes,Yes,Yes,No,Yes,Possibly,2,53.0,Male,United States of America
Yes,I don't know,No,No,Yes,Yes,No,0,29.0,Male,United States of America
Yes,I don't know,No,Yes,Yes,Yes,Yes,10,37.0,Male,United States of America
No,I don't know,I don't know,No,No,No,Yes,10,45.0,Female,United States of America
Yes,I don't know,I don't know,Yes,Yes,Yes,Possibly,10,26.0,Male,Netherlands
Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,28.0,Male,United States of America
Yes,Yes,No,Yes,No,Yes,Yes,7,24.0,Female,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Possibly,7,27.0,Male,United States of America
No,Yes,I don't know,No,No,Yes,No,9,42.0,Male,United States of America
No,No,No,No,Yes,Yes,Possibly,4,34.0,Male,United Kingdom
No,Yes,I don't know,Yes,Yes,Yes,Yes,5,23.0,Other,United Kingdom
No,I don't know,I don't know,No,No,Yes,Don't Know,5,34.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,Possibly,5,27.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,Possibly,5,31.0,Male,United States of America
No,Yes,Yes,No,No,Yes,No,7,50.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,41.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,No,3,49.0,Male,United Kingdom
No,I don't know,I don't know,Yes,Yes,Yes,Yes,9,37.0,Male,United States of America
No,Yes,Yes,Yes,Yes,Yes,Possibly,10,52.0,Male,United States of America
No,Yes,Yes,No,No,Yes,No,8,33.0,Other,Canada
Yes,Yes,I don't know,No,No,Yes,Yes,4,37.0,Male,United States of America
No,I don't know,Yes,No,Yes,No,Yes,7,53.0,Female,United States of America
Yes,No,No,No,No,Yes,No,5,55.0,Male,United Kingdom
Yes,I don't know,No,Yes,No,Yes,Possibly,10,30.0,Male,United States of America
No,Yes,No,No,No,Yes,No,2,35.0,Male,United States of America
No,Yes,I don't know,No,No,Yes,Possibly,6,60.0,Male,Canada
No,Yes,Yes,No,No,Yes,No,5,34.0,Female,United States of America
No,No,No,Yes,No,Yes,No,2,35.0,Male,United States of America
No,Yes,No,No,No,Yes,Possibly,2,34.0,Male,United States of America
Yes,I don't know,No,Yes,No,No,Don't Know,0,28.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,Yes,5,28.0,Female,United States of America
Yes,I don't know,No,No,No,Yes,No,5,36.0,Other,United Kingdom
Yes,Yes,Yes,No,No,Yes,Possibly,3,55.0,Male,United States of America
Yes,Yes,I don't know,Yes,No,Yes,Yes,7,32.0,Male,Norway
Yes,Yes,Yes,Yes,No,Yes,Possibly,8,33.0,Male,United States of America
Yes,Yes,No,Yes,No,Yes,Yes,2,30.0,Female,Portugal
Yes,Yes,I don't know,No,No,Yes,Possibly,5,30.0,Male,Portugal
Yes,Yes,No,No,No,Yes,No,8,34.0,Male,Portugal
No,Yes,Yes,No,No,Yes,Possibly,9,47.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Yes,8,24.0,Female,United States of America
Yes,Yes,No,No,No,Yes,No,5,36.0,Male,Portugal
Yes,Yes,Yes,Yes,Yes,Yes,No,7,34.0,Male,United Kingdom
Yes,Yes,No,No,No,Yes,No,9,36.0,Male,Portugal
Yes,Yes,No,No,No,Yes,Don't Know,7,24.0,Male,Portugal
Yes,Yes,No,No,No,Yes,Possibly,10,32.0,Male,United States of America
No,No,No,No,Yes,Yes,Yes,6,33.0,Male,United Kingdom
Yes,I don't know,I don't know,No,No,No,No,7,39.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Yes,5,26.0,Female,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,8,32.0,Female,United States of America
Yes,Yes,Yes,No,Yes,Yes,No,8,42.0,Male,United Kingdom
Yes,Yes,No,No,Yes,Yes,Possibly,10,32.0,Male,Canada
No,No,Yes,No,No,Yes,Don't Know,0,32.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,No,4,31.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,Possibly,1,36.0,Other,United Kingdom
Yes,I don't know,I don't know,No,No,Yes,Yes,10,30.0,Male,United States of America
Yes,I don't know,No,Yes,Yes,Yes,Yes,8,45.0,Female,United States of America
Yes,Yes,Yes,No,Yes,Yes,No,10,30.0,Male,United States of America
Yes,Yes,No,No,No,Yes,Possibly,6,29.0,Male,Portugal
Yes,I don't know,I don't know,No,Yes,Yes,Yes,5,41.0,Male,United States of America
No,Yes,No,No,Yes,Yes,Possibly,10,27.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Possibly,9,42.0,Male,United States of America
Yes,I don't know,No,No,Yes,Yes,Possibly,8,32.0,Male,United States of America
Yes,I don't know,I don't know,No,No,No,No,7,32.0,Male,United States of America
Yes,Yes,No,No,Yes,Yes,Yes,8,20.0,Female,United States of America
No,I don't know,I don't know,No,No,No,No,6,35.0024154589372,Male,United States of America
Yes,I don't know,No,No,No,No,No,7,38.0,Male,United States of America
Yes,I don't know,No,No,No,No,Yes,6,31.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,7,40.0,Male,United States of America
No,Yes,No,No,No,Yes,Yes,9,30.0,Male,United States of America
No,Yes,I don't know,No,No,Yes,Yes,5,38.0,Male,United States of America
Yes,Yes,Yes,Yes,No,Yes,No,7,28.0,Male,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,10,23.0,Other,United States of America
Yes,I don't know,No,Yes,Yes,Yes,Don't Know,10,30.0,Male,United States of America
No,Yes,No,No,Yes,Yes,No,10,53.0,Female,United States of America
No,Yes,I don't know,Yes,Yes,Yes,Yes,5,38.0,Male,United States of America
No,I don't know,I don't know,No,No,No,No,5,40.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,No,8,42.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,10,42.0,Male,United States of America
No,Yes,Yes,No,Yes,Yes,Yes,6,38.0,Male,Canada
No,Yes,Yes,Yes,Yes,Yes,Yes,10,33.0,Other,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Yes,9,35.0,Male,United States of America
Yes,No,No,No,No,Yes,Possibly,4,27.0,Female,Spain
No,Yes,Yes,No,Yes,Yes,No,5,40.0,Male,United States of America
No,Yes,No,No,No,Yes,Yes,1,54.0,Female,United States of America
Yes,Yes,No,No,No,Yes,No,10,37.0,Male,United States of America
No,Yes,No,No,Yes,Yes,Yes,8,49.0,Female,United States of America
No,I don't know,Yes,No,No,Yes,No,5,23.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,42.0,Female,United Kingdom
Yes,Yes,Yes,Yes,No,Yes,Possibly,5,49.0,Male,Netherlands
Yes,I don't know,Yes,No,No,Yes,No,0,41.0,Female,United Kingdom
Yes,Yes,Yes,Yes,Yes,Yes,No,7,33.0,Male,United Kingdom
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,10,27.0,Male,United States of America
No,Yes,Yes,No,Yes,Yes,No,6,47.0,Male,United Kingdom
Yes,I don't know,No,No,No,No,Yes,8,28.0,Male,United States of America
Yes,Yes,No,No,Yes,Yes,Yes,7,49.0,Female,Canada
No,Yes,I don't know,No,Yes,Yes,Yes,2,23.0,Other,United States of America
Yes,No,No,Yes,Yes,Yes,Yes,10,45.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Possibly,3,29.0,Male,United States of America
Yes,I don't know,I don't know,No,Yes,Yes,Possibly,2,40.0,Male,United States of America
Yes,Yes,No,No,Yes,Yes,Yes,10,32.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,7,22.0,Female,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,7,28.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,Yes,3,29.0,Female,United States of America
Yes,Yes,I don't know,No,Yes,Yes,Yes,8,38.0,Female,United States of America
Yes,I don't know,I don't know,No,Yes,Yes,No,7,30.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Yes,8,37.0,Female,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,3,38.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,51.0,Female,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,9,39.0,Male,United States of America
No,Yes,I don't know,No,No,Yes,Don't Know,4,22.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,26.0,Male,United States of America
No,I don't know,No,No,Yes,Yes,Possibly,5,42.0,Male,United States of America
No,No,No,Yes,No,Yes,Yes,3,49.0,Male,United Kingdom
Yes,Yes,Yes,No,Yes,Yes,No,10,48.0,Male,United Kingdom
No,Yes,Yes,No,Yes,Yes,No,9,25.0,Male,Germany
Yes,Yes,Yes,No,Yes,Yes,No,5,63.0,Male,United States of America
Yes,No,No,Yes,Yes,Yes,Possibly,8,41.0,Male,Netherlands
No,Yes,Yes,No,No,Yes,Possibly,7,29.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,Possibly,6,32.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Yes,5,36.0,Male,United States of America
Yes,I don't know,I don't know,No,No,Yes,Don't Know,2,28.0,Female,United States of America
No,Yes,Yes,No,No,Yes,No,8,36.0,Male,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,9,40.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,Don't Know,3,27.0,Male,United States of America
No,Yes,I don't know,Yes,Yes,Yes,Yes,8,28.0,Female,Norway
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,34.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,34.0,Male,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,10,31.0,Female,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,10,26.0,Other,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,No,7,39.0,Male,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,10,36.0,Female,United States of America
Yes,No,No,No,Yes,Yes,Yes,10,25.0,Female,United States of America
No,Yes,Yes,Yes,Yes,Yes,Possibly,7,38.0,Male,United Kingdom
Yes,I don't know,No,Yes,Yes,Yes,Don't Know,4,33.0,Male,Canada
Yes,Yes,No,No,Yes,Yes,Possibly,7,39.0,Male,United States of America
Yes,No,I don't know,No,No,Yes,Yes,10,19.0,Female,United States of America
No,No,No,No,No,Yes,Yes,9,35.0,Male,United States of America
Yes,Yes,No,No,No,Yes,Yes,10,38.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,Possibly,5,42.0,Male,United States of America
Yes,No,No,No,No,Yes,Don't Know,9,30.0,Male,Spain
Yes,No,I don't know,Yes,Yes,Yes,Possibly,7,39.0,Male,Germany
No,Yes,Yes,No,No,Yes,Yes,6,53.0,Male,United States of America
Yes,Yes,I don't know,No,No,Yes,No,6,35.0,Male,United States of America
Yes,Yes,No,No,No,Yes,Possibly,6,24.0,Female,Canada
Yes,Yes,I don't know,No,Yes,Yes,Yes,3,29.0,Other,United States of America
Yes,Yes,No,No,No,Yes,Yes,7,40.0,Female,Ireland
Yes,No,No,No,No,Yes,Don't Know,9,27.0,Male,France
Yes,No,No,No,No,Yes,Yes,0,39.0,Male,Canada
No,I don't know,No,No,No,Yes,No,8,24.0,Male,United States of America
Yes,No,No,Yes,Yes,Yes,Yes,10,25.0,Female,United States of America
No,I don't know,I don't know,No,No,Yes,No,3,45.0,Male,United Kingdom
Yes,Yes,Yes,No,No,Yes,Yes,7,37.0,Male,United States of America
Yes,I don't know,No,No,No,No,No,8,22.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,35.0,Female,United States of America
No,I don't know,I don't know,No,Yes,Yes,Yes,5,50.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,45.0,Male,United States of America
No,No,I don't know,No,No,Yes,Yes,1,49.0,Male,United Kingdom
No,No,No,No,No,Yes,No,7,40.0,Male,United Kingdom
Yes,Yes,Yes,No,No,Yes,No,5,38.0,Female,Pakistan
No,Yes,Yes,Yes,Yes,Yes,Possibly,7,37.0,Male,United States of America
Yes,I don't know,I don't know,Yes,Yes,Yes,Possibly,6,28.0,Female,United States of America
Yes,Yes,Yes,No,No,Yes,Don't Know,1,25.0,Male,United States of America
No,Yes,No,Yes,No,Yes,Don't Know,2,19.0,Male,Brazil
No,Yes,No,Yes,No,Yes,Don't Know,6,31.0,Male,Brazil
No,Yes,Yes,Yes,No,Yes,Yes,5,30.0,Male,Brazil
No,Yes,I don't know,No,No,Yes,Yes,6,29.0,Male,Brazil
Yes,Yes,No,No,Yes,Yes,Yes,3,32.0,Male,Brazil
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,9,27.0,Male,United States of America
Yes,Yes,No,No,Yes,Yes,Possibly,5,27.0,Female,United States of America
Yes,Yes,No,Yes,Yes,Yes,Yes,2,47.0,Other,United States of America
Yes,I don't know,No,No,No,No,No,9,30.0,Female,United States of America
No,No,I don't know,No,No,Yes,Yes,5,45.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,No,6,26.0,Female,United States of America
Yes,Yes,No,No,No,Yes,Yes,5,32.0,Female,United States of America
Yes,Yes,Yes,No,Yes,Yes,Yes,10,43.0,Female,United States of America
No,I don't know,I don't know,Yes,No,Yes,Yes,7,51.0,Other,United States of America
No,Yes,Yes,No,Yes,Yes,Possibly,7,30.0,Male,United States of America
Yes,I don't know,No,No,No,Yes,No,4,48.0,Other,United States of America
Yes,Yes,No,No,No,Yes,Yes,7,28.0,Female,United States of America
Yes,No,No,No,Yes,Yes,Yes,6,26.0,Female,United States of America
No,No,No,No,No,No,No,1,45.0,Male,United States of America
Yes,Yes,Yes,No,No,Yes,No,6,37.0,Male,Estonia
Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,42.0,Female,United Kingdom
Yes,I don't know,No,No,Yes,Yes,Yes,5,34.0,Male,United States of America
No,Yes,No,No,Yes,Yes,Yes,8,28.0,Male,Mexico
Yes,Yes,Yes,Yes,Yes,Yes,No,6,34.0,Female,United States of America
Yes,I don't know,No,No,No,Yes,Yes,7,41.0,Male,United States of America
No,Yes,I don't know,Yes,Yes,Yes,Yes,8,38.0,Other,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,No,0,42.0,Female,United States of America
Yes,I don't know,I don't know,Yes,Yes,Yes,Yes,5,21.0,Male,United States of America
Yes,Yes,Yes,Yes,No,Yes,Yes,8,46.0,Male,United States of America
No,Yes,Yes,No,No,Yes,Possibly,2,25.0,Male,United Kingdom
Yes,No,No,Yes,Yes,Yes,Yes,5,27.0,Other,Germany
Yes,I don't know,Yes,No,Yes,Yes,Yes,9,47.0,Female,United States of America
Yes,Yes,I don't know,No,No,Yes,Yes,0,24.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,40.0,Male,United States of America
Yes,Yes,No,No,No,Yes,No,10,37.0,Male,United States of America
Yes,I don't know,Yes,No,No,Yes,Don't Know,6,38.0,Male,United States of America
Yes,I don't know,Yes,No,No,No,No,3,47.0,Male,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,30.0,Female,United States of America
No,No,No,Yes,Yes,Yes,Possibly,2,24.0,Female,United States of America
No,Yes,Yes,Yes,Yes,Yes,Yes,7,38.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,42.0,Male,Canada
Yes,I don't know,I don't know,No,No,Yes,Possibly,0,42.0,Male,United States of America
No,Yes,I don't know,Yes,Yes,Yes,Yes,10,47.0,Male,United States of America
Yes,Yes,No,No,No,Yes,No,3,29.0,Male,Poland
Yes,Yes,I don't know,No,No,Yes,No,4,55.0,Male,United States of America
Yes,Yes,Yes,No,Yes,Yes,No,3,45.0,Male,Japan
No,I don't know,Yes,No,No,Yes,No,2,46.0,Male,United Kingdom
No,Yes,Yes,No,Yes,Yes,Possibly,5,23.0,Female,India
No,No,No,No,No,Yes,Possibly,8,22.0,Female,United States of America
Yes,Yes,I don't know,No,No,Yes,Yes,8,42.0,Female,United States of America
Yes,Yes,No,Yes,Yes,Yes,No,10,26.0,Female,Brazil
Yes,No,No,No,No,Yes,No,5,31.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,24.0,Female,United States of America
No,Yes,Yes,No,No,Yes,Possibly,3,26.0,Male,United States of America
Yes,I don't know,No,No,Yes,Yes,Possibly,0,34.0,Male,United States of America
Yes,Yes,I don't know,Yes,Yes,Yes,Yes,9,44.0,Female,United States of America
Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,38.0,Male,Philippines
No,I don't know,No,No,No,Yes,Yes,1,45.0,Male,United States of America
